year,city,labor_hour
1998,高雄市,364.23
1998,花蓮縣,174.16
1998,基隆市,255.58
1998,嘉義市,311.65
1998,嘉義縣,183.19
1998,苗栗縣,346.04
1998,南投縣,163.13
1998,澎湖縣,91.52
1998,屏東縣,145.09
1998,臺北市,335.87
1998,臺東縣,74.93
1998,臺南市,335.13
1998,臺中市,279.43
1998,桃園市,801.7
1998,新北市,200.81
1998,新竹市,214.74
1998,新竹縣,521.17
1998,宜蘭縣,213.22
1998,雲林縣,148.3
1998,彰化縣,280.43
1999,高雄市,536.89
1999,花蓮縣,184.66
1999,基隆市,241.96
1999,嘉義市,312.87
1999,嘉義縣,188.76
1999,苗栗縣,375.38
1999,南投縣,172.71
1999,澎湖縣,95.88
1999,屏東縣,136.19
1999,臺北市,363.36
1999,臺東縣,70.96
1999,臺南市,322.16
1999,臺中市,273.34
1999,桃園市,754.85
1999,新北市,181.82
1999,新竹市,229.66
1999,新竹縣,533.55
1999,宜蘭縣,193.82
1999,雲林縣,151.06
1999,彰化縣,284.16
2000,高雄市,325.28
2000,花蓮縣,207.08
2000,基隆市,223.63
2000,嘉義市,306.25
2000,嘉義縣,177.5
2000,苗栗縣,356.89
2000,南投縣,172.82
2000,澎湖縣,96.15
2000,屏東縣,132.07
2000,臺北市,274.34
2000,臺東縣,81.65
2000,臺南市,337.65
2000,臺中市,274.04
2000,桃園市,761.8
2000,新北市,208.94
2000,新竹市,179.88
2000,新竹縣,515.79
2000,宜蘭縣,197.09
2000,雲林縣,194.88
2000,彰化縣,282.64
2001,高雄市,1666.04
2001,花蓮縣,176.38
2001,基隆市,186
2001,嘉義市,322.32
2001,嘉義縣,175.92
2001,苗栗縣,321.19
2001,南投縣,149.21
2001,澎湖縣,86.72
2001,屏東縣,133.76
2001,臺北市,302.36
2001,臺東縣,96.5
2001,臺南市,3856.38
2001,臺中市,222.1
2001,桃園市,675.66
2001,新北市,167.48
2001,新竹市,120.57
2001,新竹縣,482.83
2001,宜蘭縣,203.75
2001,雲林縣,178.79
2001,彰化縣,247.95
2002,高雄市,285.69
2002,花蓮縣,167.75
2002,基隆市,157.56
2002,嘉義市,289.01
2002,嘉義縣,158.09
2002,金門縣,118.6
2002,連江縣,25.51
2002,苗栗縣,298.14
2002,南投縣,134.95
2002,澎湖縣,76.79
2002,屏東縣,104.38
2002,臺北市,184.82
2002,臺東縣,65.63
2002,臺南市,251.44
2002,臺中市,223.17
2002,桃園市,648.1
2002,新北市,155.4
2002,新竹市,135.61
2002,新竹縣,438.45
2002,宜蘭縣,154.01
2002,雲林縣,173.22
2002,彰化縣,229.84
2003,高雄市,352.04
2003,花蓮縣,173.49
2003,基隆市,169.3
2003,嘉義市,181.26
2003,嘉義縣,139.85
2003,金門縣,54.06
2003,連江縣,1.25
2003,苗栗縣,223.05
2003,南投縣,196.2
2003,澎湖縣,152.99
2003,屏東縣,135.26
2003,臺北市,299.82
2003,臺東縣,101.03
2003,臺南市,235.66
2003,臺中市,186.4
2003,桃園市,704.36
2003,新北市,159.78
2003,新竹市,195.64
2003,新竹縣,497.1
2003,宜蘭縣,150.64
2003,雲林縣,108.59
2003,彰化縣,195.58
2004,高雄市,292.06
2004,花蓮縣,174.93
2004,基隆市,175.11
2004,嘉義市,277.38
2004,嘉義縣,184.13
2004,金門縣,259.78
2004,連江縣,13.04
2004,苗栗縣,272.79
2004,南投縣,132.91
2004,澎湖縣,85.2
2004,屏東縣,106.08
2004,臺北市,360.26
2004,臺東縣,67.48
2004,臺南市,268.18
2004,臺中市,197.71
2004,桃園市,794.45
2004,新北市,186.66
2004,新竹市,215.11
2004,新竹縣,574.24
2004,宜蘭縣,165.65
2004,雲林縣,159.88
2004,彰化縣,185.54
2005,高雄市,300.9
2005,花蓮縣,202.86
2005,基隆市,217.46
2005,嘉義市,235.6
2005,嘉義縣,204.62
2005,金門縣,322.85
2005,連江縣,102.92
2005,苗栗縣,298.57
2005,南投縣,201.1
